"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,32,56,"B09R1LCWFZ",false,18.99,"USD",0,0,0,28,3.8,"https://www.amazon.com/dp/B09R1LCWFZ","106.40",false,false,false,false,"NiToy 4PCS Wooden Magnetic Maze Toys for Kids 3+, 7''x8'' Animal Interactive Puzzle Game Board Montessori Labyrinth STEM A...","https://m.media-amazon.com/images/I/814XciqVqgL._AC_UL400_.jpg"
1,33,57,"B000CBSNKQ",false,49.99,"USD",0,0,0,11432,4.9,"https://www.amazon.com/dp/B000CBSNKQ","56016.80",false,false,false,false,"Sponsored Ad - Magna-Tiles 32-Piece Clear Colors Set, The Original Magnetic Building Tiles For Creative Open-Ended Play, E...","https://m.media-amazon.com/images/I/71HOD-UuefL._AC_UL400_.jpg"
1,34,58,"B0BXC7HSG6",false,16.99,"USD",0,0,0,32,4.3,"https://www.amazon.com/dp/B0BXC7HSG6","137.60",false,false,false,false,"QIFUN Magnetic Drawing Board for Toddlers 1-3, Magnetic Toys with Magnetic Beads Pen Magnetic Board Kids Toys, Magnetic Do...","https://m.media-amazon.com/images/I/71qZKTIRy-L._AC_UL400_.jpg"
1,35,59,"B0BNWYJN1Y",true,14.99,"USD",19.99,5,25.01,54,4.4,"https://www.amazon.com/dp/B0BNWYJN1Y","237.60",false,false,false,false,"Doirdon Magnetic Drawing Board for Kids & Toddlers 3-5 Years,【Simple and Conventional 2 Modes】 Fun Magnetic Board with Col...","https://m.media-amazon.com/images/I/717nK4FiWDL._AC_UL400_.jpg"
1,36,60,"B0BWY4DBSB",false,19.99,"USD",0,0,0,10,3.5,"https://www.amazon.com/dp/B0BWY4DBSB","35.00",false,false,false,false,"Magnetic Drawing Board for Kids Toddlers Large Doodle Board with 2 Magnetic Pens Rabbit Magnetic Dot Art Montessori Educat...","https://m.media-amazon.com/images/I/81LJJGxMZmL._AC_UL400_.jpg"
1,37,61,"B0BWDP838F",false,18.99,"USD",0,0,0,13,3.9,"https://www.amazon.com/dp/B0BWDP838F","50.70",false,false,false,false,"Cieyan Magnetic Drawing Board for Kids, Large Doodle Board with Magnetic Pen Magnetic Beads, Magnetic Board Magnetic Dot A...","https://m.media-amazon.com/images/I/81La75MVFDL._AC_UL400_.jpg"
1,38,62,"B09VK163SC",false,24.99,"USD",0,0,0,434,4.3,"https://www.amazon.com/dp/B09VK163SC","1866.20",false,false,false,false,"GAMENOTE Magnetic Color and Number Maze - Wooden Magnet Board Puzzles Toddler Activities Counting Matching Games Montessor...","https://m.media-amazon.com/images/I/81xdzrS4npL._AC_UL400_.jpg"
1,39,63,"B0B5M1CDNG",false,0,"USD",0,0,0,1,5,"https://www.amazon.com/dp/B0B5M1CDNG","5.00",false,false,false,false,"PicassoTiles Double-Sided Magnetic Drawing Board Alphabet + Number, 2-in-1 ABC A-Z Letter Lower Case Letter and Free Style...","https://m.media-amazon.com/images/I/71QJf6KIuKL._AC_UL400_.jpg"
1,40,64,"B07WBW6V95",true,18.99,"USD",19.99,1,5,2652,4.5,"https://www.amazon.com/dp/B07WBW6V95","11934.00",false,false,false,false,"Apfity Magnetic Alphabet Tracing Board, ABC Magnetic Letter Board, Magnets Tablet Drawing Board Preschool Learning Toys fo...","https://m.media-amazon.com/images/I/61yfGLSZS9L._AC_UL400_.jpg"
1,41,65,"B07ZJ8FDPK",true,15.99,"USD",19.99,4,20.01,202,4.6,"https://www.amazon.com/dp/B07ZJ8FDPK","929.20",false,false,false,false,"MAGBLOCK Magnetic Stylus Drawing Board with Magnet Pen, Educational Read Write Learn Preschool Gift for Boys and Girls (8....","https://m.media-amazon.com/images/I/71YisamwS0L._AC_UL400_.jpg"
1,42,66,"B08SM98J3H",true,10.12,"USD",16.99,6.87,40.44,781,4.5,"https://www.amazon.com/dp/B08SM98J3H","3514.50",false,false,false,false,"GEMEM Wooden Montessori Math Counting Hundred Board Toys, 1-100 Consecutive Numbers Learning & Educational Game Toy for Ki...","https://m.media-amazon.com/images/I/71CGOyd3FuL._AC_UL400_.jpg"
1,43,67,"B081GTG1ZW",false,19.99,"USD",0,0,0,3899,4.6,"https://www.amazon.com/dp/B081GTG1ZW","17935.40",false,false,false,false,"Gamenote Double Sided Magnetic Letter Board - 2 in 1 Alphabet Magnets Tracing Board for Toddlers ABC Letters Uppercase & L...","https://m.media-amazon.com/images/I/71Yfguf1nNL._AC_UL400_.jpg"
1,44,68,"B09R4HQ6ZN",false,28.99,"USD",0,0,0,33,4.6,"https://www.amazon.com/dp/B09R4HQ6ZN","151.80",false,false,false,false,"Montessori Toys for 3 4 5 Year Old, 6 in 1 Wooden Board Bead Game, Preschool Fine Motor Skills Toddler Toys for Kids Ages ...","https://m.media-amazon.com/images/I/81pljgaLAxL._AC_UL400_.jpg"
1,45,69,"B07V2CRKXB",true,7.99,"USD",12.99,5,38.49,7882,4.6,"https://www.amazon.com/dp/B07V2CRKXB","36257.20",false,false,false,false,"LPBeads 100PCS 8mm Natural Hematite Beads Gemstone Round Loose Beads for Jewelry Making with Crystal Stretch Cord","https://m.media-amazon.com/images/I/71z+satDtQL._AC_UL400_.jpg"
1,46,70,"B00146LUX0",true,23.74,"USD",24.99,1.25,5,3030,4.4,"https://www.amazon.com/dp/B00146LUX0","13332.00",false,false,false,false,"Melissa & Doug Magnetic Wand Number Maze - Wooden Puzzle Activity - Learning Toys, Travel Activities For Kids, Magnetic Ma...","https://m.media-amazon.com/images/I/81d-ar+Rg6L._AC_UL400_.jpg"
1,48,72,"B07CZ74J5M",false,14.99,"USD",0,0,0,399,4.5,"https://www.amazon.com/dp/B07CZ74J5M","1795.50",false,false,false,false,"Playmags Magnetic Drawing Board, Travel Toys for Kids & Toddlers, Magnet Beads w/Drawing Stylus, 8.5"" x 7"" Travel Size Roa...","https://m.media-amazon.com/images/I/61aqCtbionL._AC_UL400_.jpg"
1,49,73,"B09R9MMW6J",false,22.89,"USD",0,0,0,1476,4.6,"https://www.amazon.com/dp/B09R9MMW6J","6789.60",false,false,false,false,"Magnatab Playskool Free Draw — Learning and Sensory Drawing Tool — for Ages 3+","https://m.media-amazon.com/images/I/71W9+6t5YXL._AC_UL400_.jpg"
1,52,76,"B073F9H93D",true,19.99,"USD",29.99,10,33.34,7969,4.6,"https://www.amazon.com/dp/B073F9H93D","36657.40",false,false,false,false,"SGILE Magnetic Drawing Board Toy for Kids, Large Doodle Board Writing Painting Sketch Pad, Blue","https://m.media-amazon.com/images/I/71+Lq2XyykL._AC_UL400_.jpg"
