"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
14,4,137,"B0BRXG2NFJ",true,99.99,"USD",119.99,20,16.67,3,5,"https://www.amazon.com/dp/B0BRXG2NFJ","15.00",false,false,false,false,"Sponsored Ad - Bluyard Raised Garden Bed 6.5x2x1.4 ft Zinc-Aluminum-Magnesium Coated Steel Planter Box Outdoor with Rubber...","https://m.media-amazon.com/images/I/810wuHXeW9L._AC_UL400_.jpg"
1,42,138,"B09VD3RLDF",false,119.99,"USD",0,0,0,15,4.4,"https://www.amazon.com/dp/B09VD3RLDF","66.00",false,false,false,false,"Notume Raised Garden Bed 41x21x20-inch Mobile Elevated Wood Planter Lockable Wheels, Outdoor Wood Elevated Planter Box Kit...","https://m.media-amazon.com/images/I/81qn0AvoMXL._AC_UL400_.jpg"
14,5,139,"B08RP567CV",true,43.99,"USD",49.99,6,12,233,4.5,"https://www.amazon.com/dp/B08RP567CV","1048.50",false,false,false,false,"Sponsored Ad - ProGard Raised Garden Bed, Garden Raised Planter Box with Legs, Galvanized Garden Planter for Herbs and Veg...","https://m.media-amazon.com/images/I/713bcD3rj3L._AC_UL400_.jpg"
1,43,140,"B0BYJ8LZNW",false,109,"USD",0,0,0,26,4.5,"https://www.amazon.com/dp/B0BYJ8LZNW","117.00",false,false,false,false,"Sunnotic Raised Garden Beds Outdoor 8×4×1 Ft DIY Galvanized Raised Garden Beds for Vegetables 12-in-1 Modular Metal Raised...","https://m.media-amazon.com/images/I/71Gud8URNxL._AC_UL400_.jpg"
14,6,141,"B09WHC4J2B",true,144.44,"USD",169.95,25.51,15.01,216,4.7,"https://www.amazon.com/dp/B09WHC4J2B","1015.20",false,false,false,false,"Sponsored Ad - VEGEGA. 8ft X 2ft X 1.4ft Raised Garden Bed Kit, Large Zinc-Aluminum-Magnesium Stainless Steel Metal Plante...","https://m.media-amazon.com/images/I/61dFi32tyAL._AC_UL400_.jpg"
1,44,142,"B0C13565GV",false,29.99,"USD",0,0,0,49,4.3,"https://www.amazon.com/dp/B0C13565GV","210.70",false,false,false,false,"Tigerden Outside Raised Garden Bed Kit for Vegetables, Herbs, Flowers, and Fruits, 3.0x1.8x1.0ft Planters Box for Outdoor ...","https://m.media-amazon.com/images/I/71k+5I0ihBL._AC_UL400_.jpg"
14,7,143,"B0BZT64ZZ4",true,152.99,"USD",169.99,17,10,31,4.9,"https://www.amazon.com/dp/B0BZT64ZZ4","151.90",false,false,false,false,"Sponsored Ad - Garsence Galvanized Raised Garden Bed Outdoor 8ft X 2ft X 1ft 12 in 1 Metal Modular Raised Garden Planter R...","https://m.media-amazon.com/images/I/71czhxlz08L._AC_UL400_.jpg"
1,45,144,"B09Q5LTTH6",true,79.99,"USD",109.99,30,27.28,863,4.6,"https://www.amazon.com/dp/B09Q5LTTH6","3969.80",false,false,false,false,"Mr IRONSTONE 2 pcs 6x3x1ft Galvanized Metal Raised Garden Bed for Vegetables, Outdoor Garden Raised Planter Box, Backyard ...","https://m.media-amazon.com/images/I/8139cjRM1zL._AC_UL400_.jpg"
14,8,145,"B0BCVVN6G3",true,49.99,"USD",54.99,5,9.09,321,4.5,"https://www.amazon.com/dp/B0BCVVN6G3","1444.50",false,false,false,false,"Sponsored Ad - BUTUNITA Galvanized Raised Garden Bed Outdoor Metal for Gardening Vegetables Flower Garden Planter Box Larg...","https://m.media-amazon.com/images/I/81dBjWQ+fnL._AC_UL400_.jpg"
1,46,146,"B0BPWQCCNY",true,39.97,"USD",47.97,8,16.68,202,4.7,"https://www.amazon.com/dp/B0BPWQCCNY","949.40",false,false,false,false,"Galvanized Raised Garden Bed Outdoor // 4×2×1 ft Planter Boxes Raised Beds for Outdoor Plants, Vegetables, Gardening // La...","https://m.media-amazon.com/images/I/71A+kBlaXzL._AC_UL400_.jpg"
